SH, 60, 2026010806,   ,chunshu,   0, 117S, 1400E,  20, 1005, DB,
SH, 60, 2026010812,   ,chunshu,   0, 134S, 1412E,  20, 1005, DB,
SH, 60, 2026010818,   ,chunshu,   0, 138S, 1407E,  25, 1005, MD,
SH, 60, 2026010900,   ,chunshu,   0, 130S, 1411E,  30, 1002, MD,
SH, 60, 2026010906,   ,chunshu,   0, 125S, 1402E,  40, 1000, MD,
SH, 60, 2026010912,   ,chunshu,   0, 125S, 1388E,  35, 1002, TS,
SH, 60, 2026010918,   ,chunshu,   0, 123S, 1406E,  35, 1002, TS,
SH, 60, 2026011000,   ,chunshu,   0, 125S, 1415E,  35, 1002, TS,
SH, 60, 2026011006,   ,chunshu,   0, 129S, 1413E,  35, 1005, TS,
SH, 60, 2026011012,   ,chunshu,   0, 126S, 1415E,  35, 1008, TS,
SH, 60, 2026011018,   ,chunshu,   0, 140S, 1440E,  30, 1008, TD,
SH, 60, 2026011100,   ,chunshu,   0, 137S, 1453E,  30, 1008, LO,
SH, 60, 2026011106,   ,chunshu,   0, 154S, 1475E,  25, 1008, LO,
SH, 60, 2026011112,   ,chunshu,   0, 170S, 1485E,  25, 1008, LO,60S
