SH, B3, 2025090806,   ,chunshu,   0,  28S,  966E,  15, 1008, DB,
SH, B3, 2025090812,   ,chunshu,   0,  34S,  969E,  15, 1010, DB,
SH, B3, 2025090818,   ,chunshu,   0,  43S,  968E,  15, 1010, DB,
SH, B3, 2025090900,   ,chunshu,   0,  49S,  965E,  20, 1010, DB,
SH, B3, 2025090906,   ,chunshu,   0,  47S,  958E,  20, 1008, DB,
SH, B3, 2025090912,   ,chunshu,   0,  47S,  951E,  20, 1005, DB,
SH, B3, 2025090918,   ,chunshu,   0,  45S,  948E,  25, 1005, TD,
SH, B3, 2025091000,   ,chunshu,   0,  42S,  946E,  35, 1002, TS,
SH, B3, 2025091006,   ,chunshu,   0,  43S,  949E,  40, 1000, TS,
SH, B3, 2025091012,   ,chunshu,   0,  48S,  952E,  40, 1000, TS,
SH, B3, 2025091018,   ,chunshu,   0,  53S,  955E,  35, 1002, TS,
SH, B3, 2025091100,   ,chunshu,   0,  62S,  954E,  35, 1002, TS,
SH, B3, 2025091106,   ,chunshu,   0,  74S,  949E,  30, 1002, TD,
SH, B3, 2025091112,   ,chunshu,   0,  84S,  942E,  30, 1005, TD,
SH, B3, 2025091118,   ,chunshu,   0,  95S,  933E,  25, 1005, TD,
SH, B3, 2025091200,   ,chunshu,   0, 105S,  917E,  25, 1005, TD,
SH, B3, 2025091206,   ,chunshu,   0, 107S,  906E,  20, 1005, DB,
SH, B3, 2025091212,   ,chunshu,   0, 107S,  894E,  20, 1005, DB,
SH, B3, 2025091218,   ,chunshu,   0, 106S,  885E,  20, 1005, LO,
SH, B3, 2025091300,   ,chunshu,   0, 103S,  878E,  20, 1008, LO,
SH, B3, 2025091306,   ,chunshu,   0,  99S,  875E,  20, 1008, LO,
SH, B3, 2025091312,   ,chunshu,   0,  97S,  870E,  20, 1010, LO,
SH, B3, 2025091318,   ,chunshu,   0,  92S,  864E,  20, 1010, LO,93S
