SH, 09, 2025122900,   ,chunshu,   0, 135S,  825E,  120, 945, TY,      GRANT
SH, 09, 2025122906,   ,chunshu,   0, 136S,  815E,  130, 938, ST,      GRANT
SH, 09, 2025122912,   ,chunshu,   0, 137S,  805E,  140, 930, ST,      GRANT
SH, 09, 2025122918,   ,chunshu,   0, 140S,  792E,  130, 940, ST,      GRANT
SH, 09, 2025123000,   ,chunshu,   0, 143S,  783E,  120, 945, TY,      GRANT
SH, 09, 2025123006,   ,chunshu,   0, 145S,  771E,  130, 938, ST,      GRANT
SH, 09, 2025123012,   ,chunshu,   0, 146S,  758E,  130, 940, ST,      GRANT
SH, 09, 2025123018,   ,chunshu,   0, 148S,  745E,  125, 945, TY,      GRANT
SH, 09, 2025123100,   ,chunshu,   0, 150S,  731E,  120, 948, TY,      GRANT
SH, 09, 2025123106,   ,chunshu,   0, 153S,  720E,  115, 952, TY,      GRANT
SH, 09, 2025123112,   ,chunshu,   0, 156S,  708E,  110, 955, TY,      GRANT
SH, 09, 2025123118,   ,chunshu,   0, 160S,  697E,  100, 962, TY,      GRANT
SH, 09, 2026010100,   ,chunshu,   0, 161S,  694E,   85, 972, TY,      GRANT
SH, 09, 2026010106,   ,chunshu,   0, 160S,  687E,   65, 985, TY,      GRANT
SH, 09, 2026010112,   ,chunshu,   0, 160S,  682E,   55, 990, TS,      GRANT
SH, 09, 2026010118,   ,chunshu,   0, 159S,  678E,   50, 995, TS,      GRANT
SH, 09, 2026010200,   ,chunshu,   0, 157S,  674E,   45, 998, TS,      GRANT
SH, 09, 2026010206,   ,chunshu,   0, 155S,  670E,   40,1000, TS,      GRANT
SH, 09, 2026010212,   ,chunshu,   0, 154S,  667E,   35,1002, TS,      GRANT
SH, 09, 2026010218,   ,chunshu,   0, 150S,  660E,   35,1002, TS,      GRANT
SH, 09, 2026010300,   ,chunshu,   0, 149S,  655E,   35,1002, TS,      GRANT
SH, 09, 2026010306,   ,chunshu,   0, 149S,  646E,   35,1002, TS,      GRANT
SH, 09, 2026010312,   ,chunshu,   0, 151S,  642E,   35,1002, TS,      GRANT
SH, 09, 2026010318,   ,chunshu,   0, 152S,  636E,   35,1002, TS,      GRANT
SH, 09, 2026010400,   ,chunshu,   0, 154S,  628E,   35,1002, TS,      GRANT
SH, 09, 2026010406,   ,chunshu,   0, 154S,  614E,   35,1002, TS,      GRANT
SH, 09, 2026010412,   ,chunshu,   0, 161S,  597E,   30,1002, TD,      GRANT
SH, 09, 2026010418,   ,chunshu,   0, 160S,  586E,   30,1002, TD,      GRANT
SH, 09, 2026010400,   ,chunshu,   0, 161S,  575E,   25,1005, TD,      GRANT
SH, 09, 2026010506,   ,chunshu,   0, 167S,  560E,   25,1005, TD,      GRANT
SH, 09, 2026010512,   ,chunshu,   0, 167S,  553E,   25,1005, TD,      GRANT
SH, 09, 2026010518,   ,chunshu,   0, 169S,  543E,   25,1005, LO,      GRANT
SH, 09, 2026010600,   ,chunshu,   0, 172S,  530E,   20,1005, LO,      GRANT
SH, 09, 2026010606,   ,chunshu,   0, 172S,  521E,   20,1005, LO,      GRANT
SH, 09, 2026010612,   ,chunshu,   0, 177S,  511E,   15,1008, LO,      GRANT

